Название,Co-Op [👁],PC/VR [👁],VR [👁],Дата выхода,Дата добавления [👁],Дата изменения,Жанры,Обложка,Описание,Оценка,Рейтинг,Ссылка,Статус
Trackmania,Yes,PC Игры,No,2020,"January 3, 2023 1:56 PM","January 3, 2023 2:47 PM"," Симуляторы, Гонки",https://staticctf.akamaized.net/J3yJr34U2pZ2Ieem48Dwy9uqj5PNUQTn/7A6P3TspEsvt1VP2aHjQRt/c3c411f53ea09ac4ecc4a925738f19c5/Header.jpg,Trackmania - знаменитая серия гоночных игр от Ubisoft Nadeo - возвращается с новым тщательно проработанным ремейком легендарной Trackmania Nations.,⭐⭐⭐,,https://store.epicgames.com/ru/p/trackmania,🗑️ Брошена
Undertale,No,PC Игры,No,15 сен. 2015,"January 3, 2023 1:57 PM","January 3, 2023 1:59 PM"," Инди,  Ролевые игры",https://cdn.akamai.steamstatic.com/steam/apps/391540/header.jpg?t=1579096091,UNDERTALE! The RPG game where you don't have to destroy anyone.,🧡,95,https://store.steampowered.com/app/391540/Undertale/,📼 Просмотрено
DELTARUNE,No,PC Игры,No,Скоро выйдет,"January 3, 2023 1:58 PM","January 3, 2023 1:59 PM"," Инди,  Ролевые игры, Бесплатно",https://cdn.akamai.steamstatic.com/steam/apps/1671210/header.jpg?t=1668504080,"UNDERTALE's parallel story, DELTARUNE. Meet new and old characters in a tale that steps closer to its end, chapter by chapter. Dodge bullets in nonviolent RPG battles as you listen to funky, funky music. Try Chapter 1 and 2 for free... now!!! More chapters in development!!!",⭐⭐,,https://store.steampowered.com/app/1671210/DELTARUNE/,📼 Просмотрено
The Walking Dead: The Final Season,No,PC Игры,No,14 авг. 2018,"January 3, 2023 2:01 PM","January 3, 2023 2:02 PM"," Приключенческие игры",https://cdn.akamai.steamstatic.com/steam/apps/866800/header.jpg?t=1612901642,"Клементина наконец-то может обрести свой дом, но ей придется многим пожертвовать, чтобы защитить его.",⭐⭐⭐,92,https://store.steampowered.com/app/866800/The_Walking_Dead_The_Final_Season/,📼 Просмотрено
The Walking Dead: A New Frontier,No,PC Игры,No,20 дек. 2016,"January 3, 2023 2:01 PM","January 3, 2023 2:02 PM"," Приключенческие игры",https://cdn.akamai.steamstatic.com/steam/apps/536220/header.jpg?t=1612901724,"Четыре года спустя после того, как зомби разодрали общество на части, в хаосе возникают карманы цивилизации. Но какой ценой? Можно ли доверять людям на этом последнем рубеже?",⭐⭐,78,https://store.steampowered.com/app/536220/The_Walking_Dead_A_New_Frontier/,📼 Просмотрено
The Walking Dead: Michonne - A Telltale Miniseries,No,PC Игры,No,23 фев. 2016,"January 3, 2023 2:01 PM","January 3, 2023 2:02 PM"," Приключенческие игры",https://cdn.akamai.steamstatic.com/steam/apps/429570/header.jpg?t=1612901697,Основной героиней игры The Walking Dead: Michonne - A Telltale Miniseries является легендарный персонаж из серии комиксов.,⭐,76,https://store.steampowered.com/app/429570/The_Walking_Dead_Michonne__A_Telltale_Miniseries/,📼 Просмотрено
The Walking Dead: Season Two,No,PC Игры,No,17 дек. 2013,"January 3, 2023 2:01 PM","January 3, 2023 2:02 PM"," Приключенческие игры",https://cdn.akamai.steamstatic.com/steam/apps/261030/header.jpg?t=1612901674,"The Walking Dead: Season Two continues the story of Clementine, a young girl orphaned by the undead apocalypse. Left to fend for herself, she has been forced to learn how to survive in a world gone mad.",⭐⭐,93,https://store.steampowered.com/app/261030/The_Walking_Dead_Season_Two/,📼 Просмотрено
The Walking Dead: 400 Days,No,PC Игры,No,3 июл. 2013,"January 3, 2023 2:01 PM","January 3, 2023 2:02 PM"," Приключенческие игры",https://cdn.akamai.steamstatic.com/steam/apps/207620/header.jpg?t=1612901754,,⭐,,https://store.steampowered.com/app/207620/The_Walking_Dead_400_Days/,📼 Просмотрено
The Walking Dead,No,PC Игры,No,24 апр. 2012,"January 3, 2023 2:01 PM","January 3, 2023 2:01 PM"," Приключенческие игры",https://cdn.akamai.steamstatic.com/steam/apps/207610/header.jpg?t=1612901774,"Приключенческий хоррор в пяти частях, действие которого происходит во вселенной, созданной Робертом Киркманом - автором серии комиксов, удостоившихся различных наград.",🧡,95,https://store.steampowered.com/app/207610/The_Walking_Dead/,📼 Просмотрено
Metro: Last Light Redux,No,PC Игры,No,28 авг. 2014,"January 3, 2023 2:02 PM","January 3, 2023 2:03 PM",Экшены,https://cdn.akamai.steamstatic.com/steam/apps/287390/header.jpg?t=1669390806,"It is the year 2034. Beneath the ruins of post-apocalyptic Moscow, in the tunnels of the Metro, the remnants of mankind are besieged by deadly threats from outside – and within. Mutants stalk the catacombs beneath the desolate surface, and hunt amidst the poisoned skies above.",⭐⭐⭐,87,https://store.steampowered.com/app/287390/Metro_Last_Light_Redux/,✔️ Пройдена
Plague Inc: Evolved,Yes,PC Игры,No,18 фев. 2016,"January 3, 2023 2:03 PM","January 3, 2023 2:03 PM"," Инди,  Симуляторы, Казуальные игры, Стратегии",https://cdn.akamai.steamstatic.com/steam/apps/246620/header.jpg?t=1666266517,"Plague Inc: Evolved - уникальная смесь стратегии и пугающе реалистичной симуляции. Ваш возбудитель инфекции только что заразил ""Нулевого Пациента"" - теперь вы должны положить конец человеческой истории, развивая смертельно опасную и вездесущую Болезнь и адаптируясь под любые попытки человечества защитить себя.",⭐⭐⭐,92,https://store.steampowered.com/app/246620/Plague_Inc_Evolved/,✔️ Пройдена
Slay the Spire,No,PC Игры,No,23 янв. 2019,"January 3, 2023 2:04 PM","January 3, 2023 2:04 PM"," Инди, Стратегии",https://cdn.akamai.steamstatic.com/steam/apps/646570/header.jpg?t=1666988685,"Мы смешали жанры ККИ и «рогалик» в попытке предоставить вам нашу лучшую одиночную карточную стратегию. Вам предстоит собрать уникальную колоду, встретить множество причудливых монстров, найти разнообразные могущественные реликвии и повергнуть Шпиль!",🧡,96,https://store.steampowered.com/app/646570/Slay_the_Spire/,🔄 Реиграбельна
Tricky Towers,No,PC Игры,No,2 авг. 2016,"January 3, 2023 2:05 PM","January 3, 2023 2:05 PM"," Инди, Казуальные игры",https://cdn.akamai.steamstatic.com/steam/apps/437920/header_alt_assets_2.jpg?t=1667418184,"Пора в Tricky Towers вам поиграть, где можно вовсю магию применять! Блок ставьте на блок, будет ждать вас успех. Узнайте, чья башня устойчивей всех. Сражайтесь с друзьями, чтоб стать самым первым, Но только свои берегите вы нервы.",⭐⭐⭐,88,https://store.steampowered.com/app/437920/Tricky_Towers/,✔️ Пройдена
Left 4 Dead,Yes,PC Игры,No,17 ноя. 2008,"January 3, 2023 2:06 PM","January 3, 2023 2:06 PM",Экшены,https://cdn.akamai.steamstatic.com/steam/apps/500/header.jpg?t=1666823877,"Новинка от Valve — создателей Counter-Strike, Half-Life и многих других игр — Left 4 Dead — это новая игра для ПК и Xbox 360, представляющая собой эпическую битву четверых «Выживших» с ордами бесчисленных зомби и ужасных мутантов «Зомби-боссов».",⭐⭐⭐,94,https://store.steampowered.com/app/500/Left_4_Dead/,✔️ Пройдена
Left 4 Dead 2,Yes,PC Игры,No,17 ноя. 2009,"January 3, 2023 2:06 PM","January 3, 2023 2:06 PM",Экшены,https://cdn.akamai.steamstatic.com/steam/apps/550/header.jpg?t=1666824129,"Настоящий зомби-апокалипсис Left 4 Dead 2 (L4D2) — это долгожданный сиквел к обладательнице многих наград Left 4 Dead — лучшей кооперативной игре 2008 года. В этом кооперативном хоррор-шутере от первого лица вы вместе с друзьями пройдёте пять больших кампаний сквозь города, болота и кладбища Юга США, от Саванны и до Нового Орлеана.",⭐⭐⭐,96,https://store.steampowered.com/app/550/Left_4_Dead_2/,✔️ Пройдена
The Stanley Parable,No,PC Игры,No,17 окт. 2013,"January 3, 2023 2:07 PM","January 3, 2023 2:07 PM"," Инди,  Приключенческие игры",https://cdn.akamai.steamstatic.com/steam/apps/221910/header.jpg?t=1668035575,"The Stanley Parable is a first person exploration game. You will play as Stanley, and you will not play as Stanley. You will follow a story, you will not follow a story. You will have a choice, you will have no choice. The game will end, the game will never end.",⭐⭐⭐,90,https://store.steampowered.com/app/221910/The_Stanley_Parable/,✔️ Пройдена
The Stanley Parable: Ultra Deluxe,No,PC Игры,No,27 апр. 2022,"January 3, 2023 2:07 PM","January 3, 2023 2:07 PM"," Инди,  Приключенческие игры, Казуальные игры",https://cdn.akamai.steamstatic.com/steam/apps/1703340/header.jpg?t=1654715052,"The Stanley Parable: Ultra Deluxe — это расширенное переосмысление игры The Stanley Parable, вышедшей в 2013 г. Вы сыграете за Стэнли и не сыграете за Стэнли. Вы будете делать выбор и будете лишены выбора. Победить здесь нельзя. The Stanley Parable — игра, которая играет в вас.",⭐⭐,91,https://store.steampowered.com/app/1703340/The_Stanley_Parable_Ultra_Deluxe/,📼 Просмотрено
Darkwood,No,PC Игры,No,17 авг. 2017,"January 3, 2023 2:08 PM","January 3, 2023 2:08 PM"," Инди,  Приключенческие игры,  Ролевые игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/274520/header.jpg?t=1667224867,"Darkwood – новое видение жанра survival horror. Изучайте богатый, изменчивый открытый мир днём, а ночью спрячьтесь в убежище и молитесь, чтобы утро наступило как можно скорее.",🧡,92,https://store.steampowered.com/app/274520/Darkwood/,✔️ Пройдена
SCP: Containment Breach Remastered,No,PC Игры,No,5 авг. 2022,"January 3, 2023 2:10 PM","January 3, 2023 2:10 PM","Бесплатно, Стратегии",https://cdn.akamai.steamstatic.com/steam/apps/2090230/header.jpg?t=1665177436,"SCP — Containment Breach — бесплатная игра в жанре ужасов на выживание, основанная на работах сообщества SCP Foundation. Ваша цель — сбежать из Зоны 19, сделав для этого все возможное. Избегайте множества препятствий на пути к свободе.",⭐⭐⭐,75,https://store.steampowered.com/app/2090230/SCP_Containment_Breach_Remastered/,📼 Просмотрено
Detroit: Become Human,No,PC Игры,No,18 июн. 2020,"January 3, 2023 2:11 PM","January 3, 2023 2:12 PM"," Приключенческие игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/1222140/header.jpg?t=1667468479,"В Detroit: Become Human в ваших руках окажутся судьбы как человечества, так и андроидов. Каждый сделанный вами выбор повлияет на исход игры, в которой реализован одним из самых замысловатых и разветвленных сюжетов из когда-либо созданных в игровой индустрии.",⭐⭐⭐,92,https://store.steampowered.com/app/1222140/Detroit_Become_Human/,📼 Просмотрено
Heavy Rain,No,PC Игры,No,18 июн. 2020,"January 3, 2023 2:12 PM","January 3, 2023 2:12 PM"," Приключенческие игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/960910/header.jpg?t=1667468605,"Объявлена охота на убийцу по прозвищу «Мастер оригами». Четыре персонажа, каждый из которых ведет собственное расследование и руководствуется собственными мотивами, примут участие в отчаянной попытке помешать убийце добраться до очередной жертвы.",⭐⭐,80,https://store.steampowered.com/app/960910/Heavy_Rain/,📼 Просмотрено
Until Dawn,No,PC Игры,No,2015,"January 3, 2023 2:13 PM","January 3, 2023 2:14 PM"," Horror",https://www.trustedreviews.com/wp-content/uploads/sites/54/2014/12/Until-Dawn-7.jpg,"Восемь друзей вернулись в уединенную горную хижину, где ровно год назад исчезли двое их товарищей. А все начиналось так хорошо...
В атмосфере страха, когда нервы напряжены до предела, вы принимаете решения, от которых зависит жизнь (и смерть) каждого из друзей.",⭐⭐⭐,,https://ru.wikipedia.org/wiki/Until_Dawn,📼 Просмотрено
Firewatch,No,PC Игры,No,9 фев. 2016,"January 3, 2023 2:19 PM","January 3, 2023 2:20 PM"," Инди,  Приключенческие игры",https://cdn.cloudflare.steamstatic.com/steam/apps/383870/header.jpg?t=1641234515,"Firewatch — одиночная игра-загадка от первого лица, действие которой происходит в лесах Вайоминга.",⭐⭐,87,https://store.steampowered.com/app/383870/Firewatch/,📼 Просмотрено
Outlast 2,No,PC Игры,No,25 апр. 2017,"January 3, 2023 2:19 PM","January 3, 2023 2:20 PM"," Инди,  Приключенческие игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/414700/header.jpg?t=1618944453,"Outlast 2 представляет вашему вниманию Sullivan Knoth и его последователей, которые оставили наш грешный мир позади, чтобы положить начало Вратам Храма, -городу, скрытому от цивилизации, в далекой глуши. Knoth и его группа, готовятся к испытаниям конца света, и вы находитесь прямов центре этих событий.",⭐⭐,89,https://store.steampowered.com/app/414700/Outlast_2/,📼 Просмотрено
Outlast,No,PC Игры,No,4 сен. 2013,"January 3, 2023 2:19 PM","January 3, 2023 2:20 PM"," Инди,  Приключенческие игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/238320/header.jpg?t=1666817106,"Hell is an experiment you can't survive in Outlast, a first-person survival horror game developed by veterans of some of the biggest game franchises in history. As investigative journalist Miles Upshur, explore Mount Massive Asylum and try to survive long enough to discover its terrible secret... if you dare.",⭐⭐⭐,94,https://store.steampowered.com/app/238320/Outlast/?l=russian,✔️ Пройдена
F.E.A.R.,No,PC Игры,No,17 окт. 2005,"January 3, 2023 2:19 PM","January 3, 2023 2:20 PM",Экшены,https://cdn.akamai.steamstatic.com/steam/apps/21090/header.jpg?t=1634068160,История оригинальной F.E.A.R. развивается в дополнениях F.E.A.R. Extraction Point и F.E.A.R. Perseus Mandate.,🧡,91,https://store.steampowered.com/app/21090/FEAR/?l=russian,✔️ Пройдена
Max Payne 3,No,PC Игры,No,1 июн. 2012,"January 3, 2023 2:20 PM","January 3, 2023 2:20 PM",Экшены,https://cdn.akamai.steamstatic.com/steam/apps/204100/header.jpg?t=1619108680,"No longer a New York City cop, Max Payne moves to São Paulo to protect a wealthy family in an effort to finally escape his troubled past. This complete edition of Max Payne 3 includes the complete original game and all previously released downloadable content.",⭐⭐⭐,84,https://store.steampowered.com/app/204100/Max_Payne_3/,✔️ Пройдена
Max Payne 2: The Fall of Max Payne,No,PC Игры,No,14 окт. 2003,"January 3, 2023 2:20 PM","January 3, 2023 2:20 PM",Экшены,https://cdn.akamai.steamstatic.com/steam/apps/12150/header.jpg?t=1618852824,"Max Payne 2: The Fall of Max Payne is a violent, film-noir love story. Dark, tragic and intense, the in-depth story is a thrill-ride of shocking twists and revelations. Love hurts.",🧡,91,https://store.steampowered.com/app/12150/Max_Payne_2_The_Fall_of_Max_Payne/,✔️ Пройдена
Grand Theft Auto IV: The Complete Edition,No,PC Игры,No,24 мар. 2020,"January 3, 2023 2:21 PM","January 3, 2023 2:21 PM"," Приключенческие игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/12210/header.jpg?t=1618853493,"Нико Беллик, Джонни Клебиц и Луис Лопес живут в худшем городе Америки. Либерти-Сити – это рай лишь для тех, кто богат и уважаем.",⭐⭐⭐,77,https://store.steampowered.com/app/12210/Grand_Theft_Auto_IV_The_Complete_Edition/,✔️ Пройдена
Observer: System Redux,No,PC Игры,No,10 ноя. 2020,"January 3, 2023 2:22 PM","January 3, 2023 2:22 PM"," Инди,  Приключенческие игры",https://cdn.akamai.steamstatic.com/steam/apps/1386900/header.jpg?t=1667995842,"2084 год. Погрузитесь в роль нейродетектива и проникайте в чужие разумы на фоне декораций футуристического мира, охваченного войной и болезнями. Их чувства, мысли и воспоминания помогут вам раскрыть дело и поймать неуловимого убийцу.",,83,https://store.steampowered.com/app/1386900/Observer_System_Redux/,⌛ В планах
BioShock Infinite,No,PC Игры,No,26 мар. 2013,"January 3, 2023 2:22 PM","January 3, 2023 2:22 PM",Экшены,https://cdn.akamai.steamstatic.com/steam/apps/8870/header.jpg?t=1602794480,"Indebted to the wrong people, with his life on the line, veteran of the U.S. Cavalry and now hired gun, Booker DeWitt has only one opportunity to wipe his slate clean. He must rescue Elizabeth, a mysterious girl imprisoned since childhood and locked up in the flying city of Columbia.",⭐⭐,92,https://store.steampowered.com/app/8870/BioShock_Infinite/,📼 Просмотрено
The Wolf Among Us,No,PC Игры,No,11 окт. 2013,"January 3, 2023 2:23 PM","January 3, 2023 2:24 PM"," Приключенческие игры, Казуальные игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/250320/header.jpg?t=1605585374,"From the makers of the 2012 Game of the Year: The Walking Dead, comes a thriller based on the award-winning Fables comic books. As Bigby Wolf you will discover that a brutal, bloody murder is just a taste of things to come in a game series where your every decision can have enormous consequences.",⭐⭐⭐,95,https://store.steampowered.com/app/250320/The_Wolf_Among_Us/,📼 Просмотрено
Tales from the Borderlands,No,PC Игры,No,17 фев. 2021,"January 3, 2023 2:23 PM","January 3, 2023 2:24 PM"," Приключенческие игры",https://cdn.akamai.steamstatic.com/steam/apps/330830/header.jpg?t=1666115078,Действие всех пяти эпизодов игры разворачивается в беспощадном мире Пандоры в промежутке между событиями Borderlands 2 и Borderlands 3. История о пути к величию двух искателей приключений отличается фирменным юмором в стиле Borderlands.,⭐⭐⭐,92,https://store.steampowered.com/app/330830/Tales_from_the_Borderlands/,📼 Просмотрено
The Sims 3,No,PC Игры,No,2 июн. 2009,"January 3, 2023 2:25 PM","January 3, 2023 2:29 PM"," Симуляторы",https://cdn.akamai.steamstatic.com/steam/apps/47890/header.jpg?t=1615894474,Новый контент для The Sims 3 уже доступен!,⭐⭐⭐,84,https://store.steampowered.com/app/47890/The_Sims_3/,✔️ Пройдена
The Sims 4,No,PC Игры,No,2 сен. 2014,"January 3, 2023 2:25 PM","January 3, 2023 2:29 PM"," Приключенческие игры,  Симуляторы, Бесплатно, Казуальные игры",https://cdn.akamai.steamstatic.com/steam/apps/1222670/header.jpg?t=1668103304,"Создавайте симов и управляйте ими в виртуальном мире без правил. Веселитесь, наслаждайтесь могуществом и играйте с жизнью!",⭐⭐⭐,85,https://store.steampowered.com/app/1222670/The_Sims_4/,✔️ Пройдена
HYPER DEMON,No,PC Игры,No,19 сен. 2022,"January 3, 2023 2:46 PM","January 3, 2023 2:46 PM"," Инди, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1743850/header.jpg?t=1664758401,"HYPER DEMON is an FPS like no other. a pearl of lightning. a dream from the future. a drop of poison. a swan song. The faster you slay demons, the harder the game and the higher your score. There is an end. Will it see you?",⭐⭐,90,https://store.steampowered.com/app/1743850/HYPER_DEMON/,🎮 В процессе
Archvale,Yes,PC Игры,No,2 дек. 2021,"January 3, 2023 2:59 PM","January 3, 2023 3:00 PM"," Приключенческие игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/1296360/header.jpg?t=1638464703,"Хватайте оружие и отправляйтесь в увлекательное путешествие по миру этой ролевой игры в жанре bullet hell, чтобы исправить ошибки далекого прошлого. Только вы можете одолеть злобных бессмертных стражей и вновь открыть сказочную Долину.",⭐⭐,85,https://store.steampowered.com/app/1296360/Archvale/,🎮 В процессе
UNCHARTED™: Наследие воров. Коллекция,No,PC Игры,No,19 окт. 2022,"January 4, 2023 4:27 AM","January 4, 2023 4:27 AM"," Приключенческие игры",https://cdn.akamai.steamstatic.com/steam/apps/1659420/header_russian.jpg?t=1672777947,"Играйте за Натана Дрейка и Хлою Фрейзер в их собственных приключениях, в которых герои сражаются со своим прошлым и обретают собственное наследие. Издание включает в себя сюжетные кампании из игр ""UNCHARTED 4: Путь вора"" и ""UNCHARTED: Утраченное наследие"".",,86,https://store.steampowered.com/app/1659420/UNCHARTED/,⌛ В планах
Unravel,No,PC Игры,No,9 фев. 2016,"January 4, 2023 10:49 AM","January 4, 2023 10:49 AM"," Приключенческие игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/1225560/header.jpg?t=1598618701,"Unravel – это физический платформер-головоломка о Ярни, персонаже, созданного из одной-единственной нити.",,87,https://store.steampowered.com/app/1225560/Unravel/,⌛ В планах
Unravel Two,Yes,PC Игры,No,9 июн. 2018,"January 4, 2023 10:49 AM","January 4, 2023 10:49 AM"," Приключенческие игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/1225570/header.jpg?t=1633006815,"Когда рвешь связи с прошлым, всегда появляются новые.",,80,https://store.steampowered.com/app/1225570/Unravel_Two/,⌛ В планах
Baldur's Gate 3,Yes,PC Игры,No,6 окт. 2020,"January 10, 2023 12:25 AM","January 10, 2023 12:25 AM"," Приключенческие игры,  Ролевые игры, Ранний доступ, Стратегии",https://cdn.cloudflare.steamstatic.com/steam/apps/1086940/header.jpg?t=1671728446,"Соберите отряд и вернитесь в Забытые Королевства. Вас ждет история о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти.",,85.79,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/,⌛ В планах
Tyranny,No,PC Игры,No,10 ноя. 2016,"January 10, 2023 12:28 AM","January 10, 2023 12:28 AM"," Приключенческие игры,  Ролевые игры",https://cdn.cloudflare.steamstatic.com/steam/apps/362960/header.jpg?t=1615985862,"Сыграйте в ролевую игру, в которой из-за вашего выбора меняется сам игровой мир.",,84.59,https://store.steampowered.com/app/362960/Tyranny/,⌛ В планах
ATOM RPG: Post-apocalyptic indie game,No,PC Игры,No,19 дек. 2018,"January 10, 2023 12:34 AM","January 10, 2023 12:34 AM"," Ролевые игры",https://cdn.cloudflare.steamstatic.com/steam/apps/552620/header_russian.jpg?t=1670765209,"ATOM RPG это пост-апокалиптическая инди-игра вдохновлённая классическими CRPG: Fallout, Wasteland, Deus Ex, Baldur's Gate.",,81.83,https://store.steampowered.com/app/552620/ATOM_RPG_Postapocalyptic_indie_game/,⌛ В планах
ATOM RPG Trudograd,No,PC Игры,No,13 сен. 2021,"January 10, 2023 12:34 AM","January 10, 2023 12:34 AM"," Ролевые игры",https://cdn.cloudflare.steamstatic.com/steam/apps/1139940/header_russian.jpg?t=1665077576,"ATOM RPG: Трудоград — это пошаговая постапокалиптическая ролевая игра, продолжающая сюжет ATOM RPG, и следующая традициям классических игр, таких как Fallout, Wasteland и Baldur’s Gate.",,83.56,https://store.steampowered.com/app/1139940/ATOM_RPG_Trudograd/,⌛ В планах
Wasteland 2: Director's Cut,No,PC Игры,No,19 сен. 2014,"January 10, 2023 12:37 AM","January 10, 2023 12:37 AM"," Инди,  Приключенческие игры,  Ролевые игры, Стратегии",https://cdn.akamai.steamstatic.com/steam/apps/240760/header.jpg?t=1672340218,"From the producer of the original Fallout comes Wasteland 2. With over 80 hours of gameplay, deck out your Ranger squad with devastating weaponry, test the limits of your strategy skills, and bring justice to the Wasteland! The choices are yours…but so are the consequences.",,80.19,https://store.steampowered.com/app/240760/Wasteland_2_Directors_Cut/,⌛ В планах
Meet Your Maker,Yes,PC Игры,No,4 апр. 2023,"January 26, 2023 3:48 PM","January 26, 2023 3:48 PM","Стратегии, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/1194810/header.jpg?t=1673371489,"Meet Your Maker is a post-apocalyptic first-person building-and-raiding game where every level is designed by players. Switch between roles as you mastermind devious maze-like Outposts filled with traps and guards, then gear up for methodical fast-paced combat raiding other players’ creations.",,,https://store.steampowered.com/app/1194810/Meet_Your_Maker/,⌛ В планах
Road 96: Mile 0 🛹,No,PC Игры,No,4 апр. 2023,"January 26, 2023 11:16 PM","January 26, 2023 11:16 PM"," Инди,  Приключенческие игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/2095340/header.jpg?t=1674751456,"Приквел к Road 96 и история о дружбе людей из совершенно разных миров. Зои и Кайто. История о том, с чего все началось. А вы готовы пересматривать свои взгляды?",,,https://store.steampowered.com/app/2095340/Road_96_Mile_0/,⌛ В планах
Superliminal,Yes,PC Игры,No,5 ноя. 2020,"January 31, 2023 2:40 PM","January 31, 2023 2:40 PM"," Приключенческие игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/1049410/header.jpg?t=1663957747,"Восприятие – это реальность. В этой умопомрачительной головоломке от первого лица вам предстоит сбежать из сюрреалистического мира снов, решая невозможные загадки при помощи перспективы.",,92.48,https://store.steampowered.com/app/1049410/Superliminal/,⌛ В планах
Hi-Fi RUSH,No,PC Игры,No,26 янв. 2023,"February 6, 2023 12:11 AM","February 6, 2023 12:11 AM",Экшены,https://cdn.cloudflare.steamstatic.com/steam/apps/1817230/header.jpg?t=1675347521,"Поймайте ритм вместе с начинающей рок-звездой Чаем и его командой, чтобы бросить вызов злобной мегакорпорации! Hi-Fi RUSH — это новый боевик от Tango Gameworks, в котором всем заправляет музыка!",,94.76,https://store.steampowered.com/app/1817230/HiFi_RUSH/,⌛ В планах
ExeKiller,No,PC Игры,No,2024,"February 14, 2023 6:18 AM","February 14, 2023 6:18 AM"," Инди,  Приключенческие игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/1701840/header.jpg?t=1675265566,"Exekiller – это одиночный экшен в стилистике ретрофутуристического вестерна. Вы – охотник за головами, и ваша цель – выжить в постапокалиптическом антиутопичном мире.",,,https://store.steampowered.com/app/1701840/ExeKiller/,⌛ В планах
Voidtrain,Yes,PC Игры,No,2023,"February 14, 2023 11:33 PM","February 14, 2023 11:33 PM"," Инди,  Симуляторы, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/1159690/header.jpg?t=1675708336,"Станьте членом экипажа Межпространственного Экспресса! Откройте для себя мир, полный загадочных существ и локаций. Улучшайте и кастомизируйте свой поезд, собирайте новые материалы и создавайте новое оружие. Играйте в одиночку или онлайн до 4 человек.",,,https://store.steampowered.com/app/1159690/Voidtrain/,⌛ В планах
Returnal™,Yes,PC Игры,No,15 фев. 2023,"March 3, 2023 9:23 AM","March 3, 2023 10:17 AM",Экшены,https://cdn.akamai.steamstatic.com/steam/apps/1649240/header.jpg?t=1676476643,ВЫРВИТЕСЬ ИЗ КРУГА Вступите в битву за выживание в шутере от третьего лица — история Селены теперь доступна на ПК. Преодолевайте испытания в традициях жанра рогалик. Уничтожайте врагов в боях. Разделите путешествие по миру Returnal™ с другим игроком.,,77.33,https://store.steampowered.com/app/1649240/Returnal/,⌛ В планах
Pathfinder: Kingmaker - Enhanced Plus Edition,No,PC Игры,No,25 сен. 2018,"March 3, 2023 10:52 AM","March 3, 2023 10:52 AM"," Ролевые игры",https://cdn.akamai.steamstatic.com/steam/apps/640820/header.jpg?t=1669391507,"Первая изометрическая партийная ролевая игра во вселенной Pathfinder. Насладитесь классическим игровым процессом, вдохновлённым такими играми, как Baldur's Gate и Neverwinter Nights. Исследуйте земли, завоюйте их и сделайте своим королевством!",,77.15,https://store.steampowered.com/app/640820/Pathfinder_Kingmaker__Enhanced_Plus_Edition/,⌛ В планах
Pillars of Eternity II: Deadfire,No,PC Игры,No,8 мая. 2018,"March 3, 2023 10:54 AM","March 3, 2023 10:54 AM"," Ролевые игры",https://cdn.akamai.steamstatic.com/steam/apps/560130/header.jpg?t=1651025588,"Преследуйте беглого бога на земле и по морю в сиквеле Pillars of Eternity — ролевой игры, заслужившей высокую оценку критиков. Отправьте свой корабль в опасную экспедицию через огромный неизученный архипелаг Дэдфайр.",,85.68,https://store.steampowered.com/app/560130/Pillars_of_Eternity_II_Deadfire/?curator_clanid=5025,⌛ В планах
Pillars of Eternity,No,PC Игры,No,26 мар. 2015,"March 3, 2023 10:55 AM","March 3, 2023 10:55 AM"," Ролевые игры",https://cdn.akamai.steamstatic.com/steam/apps/291650/header.jpg?t=1660749334,"Встречайте мир, где каждый ваш поступок и выбор так или иначе влияет на судьбу ваших героев. Obsidian Entertainment – студия-разработчик Fallout: New Vegas™ и South Park: The Stick of Truth™ – и Paradox Interactive с гордостью представляют вам игру Pillars of Eternity.",,86.25,https://store.steampowered.com/app/291650/Pillars_of_Eternity/,⌛ В планах
